date,rj_arrival,rj_price,kr_arrival,kr_price
1/1/2010,610,3375,47,3079
1/2/2010,500,3375,47,3079
1/3/2010,555,3375,47,3079
1/4/2010,550,3375,635,4176
1/5/2010,560,3375,341,3627.5
1/6/2010,600,3250,341,3627.5
1/7/2010,580,3275,84,3222
1/8/2010,550,3250,19,3096
1/9/2010,520,3375,246,3498
1/10/2010,560,3316.666667,246,3498
1/11/2010,250,3375,750,3196
1/12/2010,500,3305,12,2970
1/13/2010,120,3475,90,3009
1/14/2010,360,3368.75,217.75,3067.75
1/15/2010,250,3375,21,3012
1/16/2010,400,3375,218.25,3046.75
1/17/2010,255,3400,218.25,3046.75
1/18/2010,500,3400,1222,3266
1/19/2010,600,3250,33,3129
1/20/2010,560,3250,128,3150
1/21/2010,550,3250,931,3176
1/22/2010,610,3250,93,3169
1/23/2010,450,3350,481.4,3178
1/24/2010,545,3291.666667,481.4,3178
1/25/2010,410,3350,1363,3070
1/26/2010,516,3290,628.75,3141.25
1/27/2010,505,3300,155,2939
1/28/2010,490,3316.666667,896,2971
1/29/2010,430,3350,122,2959
1/30/2010,350,3275,634,2984.75
1/31/2010,380,3312.5,634,2984.75
2/1/2010,420,3250,475,2989
2/2/2010,300,3250,6,2989
2/3/2010,425,3275,95,2969
2/4/2010,430,3300,174.5,2976.5
2/5/2010,380,3300,88,3080
2/6/2010,420,3300,166,3006.75
2/7/2010,395.8333333,3279.166667,166,3006.75
2/8/2010,405,3350,974,3059
2/9/2010,410,3375,7,2975
2/10/2010,400,3400,356.3333333,3038
2/11/2010,420,3400,356.3333333,3038
2/12/2010,411,3365,490.5,3017
2/13/2010,460,3375,490.5,3017
2/14/2010,419,3380,490.5,3017
2/15/2010,420,3375,768,3989
2/16/2010,400,3350,8,3070
2/17/2010,415,3350,78,3099
2/18/2010,405,3275,786,3109
2/19/2010,400,3375,118,3116
2/20/2010,395,3375,351.6,3276.6
2/21/2010,405.8333333,3350,351.6,3276.6
2/22/2010,385,3375,833,3160
2/23/2010,450,3350,8,3109
2/24/2010,420,3250,436.25,3123.5
2/25/2010,410,3350,319.6666667,3128.333333
2/26/2010,400,3250,420.5,3134.5
2/27/2010,300,3250,420.5,3134.5
2/28/2010,394.1666667,3304.166667,420.5,3134.5
3/1/2010,396,3290,8,3109
3/2/2010,210,3425,26,3059
3/3/2010,300,3450,82,3089
3/4/2010,300,3400,743,3119
3/5/2010,280,3375,61,3026
3/6/2010,460,3350,228,3073.25
3/7/2010,310,3400,228,3073.25
3/8/2010,420,3350,826,3189
3/9/2010,410,3375,7,2929
3/10/2010,395,3375,54,3089
3/11/2010,400,3250,546,3149
3/12/2010,390,3400,34,2889
3/13/2010,415,3400,293.4,3049
3/14/2010,405,3358.333333,293.4,3049
3/15/2010,410,3375,160.25,3014
3/16/2010,375,3450,211.3333333,3042.333333
3/17/2010,400,3375,290,3019
3/18/2010,402,3400,137,3029
3/19/2010,410,3350,31,2979
3/20/2010,420,3500,84,3004
3/21/2010,402.8333333,3408.333333,84,3004
3/22/2010,400,3525,447,3089
3/23/2010,406.4,3430,4,3029
3/24/2010,408,3443.75,27,3070
