state_name,district_name,market_center_name,Variety,group_name,Arrival,MIN,MAX,MODAL,date_arrival
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,425,6125,7635,7175,14-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,420,6150,7650,7200,13-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,480,6150,7650,7175,12-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,500,6125,7620,7125,11-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,450,6100,7700,7200,10-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,500,6025,7660,7100,9-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,400,6000,7580,7200,6-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,360,6000,7610,7200,5-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,400,6000,7650,7150,4-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,360,6100,7810,7350,3-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,320,6000,7685,7250,2-Oct-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,300,6150,7750,7100,30-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,280,6250,7800,7090,29-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,260,6100,7650,7050,28-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,220,6000,7700,7150,27-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,180,6150,7650,7100,26-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,200,6200,7700,7000,25-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,260,6300,7800,7300,23-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,200,6250,7850,7150,22-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,140,6200,7800,7200,21-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,40,6150,7755,7150,20-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,50,6250,7890,7250,19-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,220,7000,8000,7650,18-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,420,7200,8100,7750,16-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,220,7250,8150,7700,14-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,260,7300,8100,7750,13-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,140,7400,8125,7800,12-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,100,7250,7900,7700,11-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,220,7450,8175,7850,2-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,200,7400,8000,7700,1-Sep-23
Gujarat,Rajkot,Rajkot,Narma BT Cotton,Fibre Crops,80,7450,8130,7755,31-Aug-23
